Title,Description,Start date,Status of project,Proposal type,Superseded by,Research (funding and structure),Open or closed,Push or pull,Target area,Disease,Region,Key people/organisations,Website,Links to key documents
GAVI,"A PDP focused on vaccines for children, which pools the demand of poorer countries and is financed partly through donor funding and partly through recipient country contributions.",2000,Operational,Organisation,-,Grants,Closed,Push,Targeted,Vaccines,International,Gates,"http://www.gavi.org/
http://www.gavi.org/about/gavis-business-model/",
3P Proposal,A package of incentives to encourage the creation of a one-month TB regimen which is affordable for all.,2015,Proposed,Proposal,-,Mixed,Open,Mixed,Targeted,TB,International,"TB Alliance (TBA), Médecins Sans Frontières (MSF), the Stop TB Partnership (STBP), The South African Medical Research Council (SAMRC), the International Union Against TB and Lung Disease (The Union), the Medicines Patent Pool (MPP), the Critical Path Institute (C-PATH) and an individual nominated by civil society groups (CS)",https://www.msfaccess.org/3Ps-project,https://www.msfaccess.org/sites/default/files/TB_briefing_3P-2016_EN.pdf
MRDT - Medical Research and Development Treaty (or MIC - Medical Innovation Convention),A binding international treaty committing states to contribute a certain propostion of GDP to  medical research.,2002,Proposed,Proposal,-,Mixed,Open,Mixed,Comprehensive,-,International,"CPT, James Love, WHO, Hubbard",-,http://www.cptech.org/workingdrafts/rndtreaty4.pdf
WHO biomedical convention proposals.,A series of proposals to the WHO to create a global framework committing states to contribute a certain level of funding into a pooled funding mechanism.,2005,Proposed,Proposal,-,Mixed,Open,Mixed,Comprehensive,-,International,"Brazil, Kenya, WHO",-,-
WHO Global Consortium ," a multifaceted model combining milestone prizes and research grants for promising drug candidates, open source sharing of knowledge and information, publicly financed clinical trials, patent buyouts of successfully developed antibiotics, and advanced purchase commitments for generic distribution",2014,Proposed,Proposal,-,Mixed,Open,Mixed,Targeted,Antibiotics,International,WHO,-,"http://www.who.int/phi/implementation/9_infobrief_current_who_model_for_development_preservation_new_antibiotics.pdf
http://www.globalhealthdynamics.co.uk/wp-content/uploads/2015/05/04_Kieny.pdf"
Orphan Drug Act 1983,A set of incentives included extended market exclusivity introduced by government to encourage the creation of drugs which affect a small number of people.,1983,Operational,Proposal,-,Monopoly patents,Closed,Pull,Targeted,Orphan diseases,US,US government,-,http://digital.library.unt.edu/ark:/67531/metadc805930/
PRVs - Priority Review Vouchers (US),A US scheme where companies who create neglected drugs are given a voucher for use on another drug which will expedite the FDA review process.,2006,Operational,Proposal,-,Monopoly patents,Closed,Pull,Targeted,NDs,US,"Ridley Grabowski and Moe, FDA",https://www.fda.gov/RegulatoryInformation/LawsEnforcedbyFDA/SignificantAmendmentstotheFDCAct/FoodandDrugAdministrationAmendmentsActof2007/FullTextofFDAAALaw/default.htm,-
MPP - Medicines Patent Pool,"A patent pool which reduces the cost of drugs treating HIV, viral hepatitis C and tuberculosis.",2010,Operational,Proposal,-,Monopoly patents,Open,Pull,Targeted,"HIV, Hep C and TB",International,"UNITAID, WHO",http://www.medicinespatentpool.org/,-
DEFEND - Developing Economies’ Fund for Essential New Drugs,A fund for buying licenses to produce and sell drugs in the developing world.,2001,Proposed,Proposal,-,Monopoly patents,Closed,Pull,Targeted,NDs,Developing countries,"Ganslandt, Maskus, Wong",https://ideas.repec.org/a/bla/worlde/v24y2001i6p779-795.html,-
Pneumococcal AMC,A scheme where donors precomit to subsidise the price of pneumococcal vaccines when developed.,2007,Operational,Proposal,-,Prizes,?,Pull,Targeted,Pneumococcal disease,GAVI countries,"Italy, UK, Canada, Russia, Norway, Gates Foundation, GAVI",http://www.gavi.org/funding/pneumococcal-amc/,http://www.scielosp.org/scielo.php?script=sci_abstract&pid=S0042-96862011001200015&lng=en&nrm=iso&tlng=en
